index,noise_k,label,pred_origin,pred_my,pred_random,pred_lz,is_equal_my,is_equal_random,is_equal_lz
0-0,1,cloud,dugong,dugong,dugong,dugong,True,True,True
0-1,1,porcupine,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
0-2,1,spider,barn_spider,barn_spider,barn_spider,barn_spider,True,True,True
0-3,1,tulip,Madagascar_cat,Madagascar_cat,Madagascar_cat,Madagascar_cat,True,True,True
0-4,1,skyscraper,space_shuttle,space_shuttle,space_shuttle,space_shuttle,True,True,True
0-5,1,baby,ocarina,ocarina,ocarina,ocarina,True,True,True
0-6,1,clock,wall_clock,wall_clock,wall_clock,wall_clock,True,True,True
0-7,1,beetle,platypus,platypus,platypus,platypus,True,True,True
0-8,1,tractor,thresher,thresher,thresher,thresher,True,True,True
0-9,1,castle,planetarium,planetarium,planetarium,planetarium,True,True,True
0-10,1,lawn_mower,thresher,thresher,thresher,thresher,True,True,True
0-11,1,rabbit,hartebeest,hartebeest,hartebeest,hartebeest,True,True,True
0-12,1,cloud,Sussex_spaniel,Sussex_spaniel,Sussex_spaniel,Sussex_spaniel,True,True,True
0-13,1,palm_tree,affenpinscher,affenpinscher,affenpinscher,affenpinscher,True,True,True
0-14,1,mountain,pirate,pirate,pirate,pirate,True,True,True
0-15,1,apple,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
0-16,1,squirrel,red_fox,red_fox,red_fox,red_fox,True,True,True
0-17,1,porcupine,langur,langur,langur,langur,True,True,True
0-18,1,pine_tree,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
0-19,1,tank,Madagascar_cat,barometer,barometer,barometer,False,False,False
1-0,1,boy,panpipe,panpipe,panpipe,panpipe,True,True,True
1-1,1,mouse,frilled_lizard,frilled_lizard,frilled_lizard,frilled_lizard,True,True,True
1-2,1,motorcycle,cassette,cassette,cassette,cassette,True,True,True
1-3,1,bear,sloth_bear,sloth_bear,sloth_bear,sloth_bear,True,True,True
1-4,1,boy,maraca,maraca,maraca,maraca,True,True,True
1-5,1,orange,lemon,lemon,lemon,lemon,True,True,True
1-6,1,elephant,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
1-7,1,can,loupe,loupe,loupe,loupe,True,True,True
1-8,1,orchid,triceratops,thresher,thresher,thresher,False,False,False
1-9,1,rabbit,lion,lion,lion,lion,True,True,True
1-10,1,spider,barrel,barrel,barrel,barrel,True,True,True
1-11,1,leopard,lion,lion,lion,lion,True,True,True
1-12,1,turtle,otterhound,otterhound,otterhound,otterhound,True,True,True
1-13,1,road,fireboat,fireboat,fireboat,fireboat,True,True,True
1-14,1,keyboard,space_bar,space_bar,space_bar,space_bar,True,True,True
1-15,1,raccoon,patas,patas,patas,patas,True,True,True
1-16,1,man,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
1-17,1,shark,dugong,dugong,dugong,dugong,True,True,True
1-18,1,plain,hartebeest,hartebeest,hartebeest,hartebeest,True,True,True
1-19,1,orange,spaghetti_squash,spaghetti_squash,spaghetti_squash,spaghetti_squash,True,True,True
2-0,1,rocket,space_shuttle,space_shuttle,space_shuttle,space_shuttle,True,True,True
2-1,1,rose,goldfish,goldfish,goldfish,goldfish,True,True,True
2-2,1,poppy,milk_can,milk_can,milk_can,milk_can,True,True,True
2-3,1,oak_tree,planetarium,African_elephant,African_elephant,African_elephant,False,False,False
2-4,1,cup,bolo_tie,bolo_tie,bolo_tie,bolo_tie,True,True,True
2-5,1,oak_tree,sorrel,sorrel,sorrel,sorrel,True,True,True
2-6,1,crocodile,cheetah,cheetah,cheetah,cheetah,True,True,True
2-7,1,house,castle,castle,castle,castle,True,True,True
2-8,1,crab,face_powder,face_powder,face_powder,face_powder,True,True,True
